data,pe_zi,cumulat
2020-03-22,7,7
2020-03-23,7,14
2020-03-24,2,16
2020-03-25,14,30
2020-03-26,16,46
2020-03-27,9,55
2020-03-28,14,69
2020-03-29,15,83
2020-03-30,18,101
2020-03-31,21,122
2020-04-1,12,134
2020-04-2,17,151
2020-04-3,17,168
2020-04-4,9,177
2020-04-5,21,198
2020-04-6,26,224
2020-04-7,22,246
2020-04-8,14,260
2020-04-9,26,286
2020-04-10,32,318
2020-04-11,14,332
2020-04-12,13,345
2020-04-13,18,363
2020-04-14,23,386
2020-04-15,22,408
2020-04-16,12,420
2020-04-17,22,442
2020-04-18,24,466
2020-04-19,20,486
2020-04-20,31,517
2020-04-21,19,536
2020-04-22,18,554
2020-04-23,27,581
2020-04-24,23,604
2020-04-25,30,634
2020-04-26,17,651
2020-04-27,21,672
2020-04-28,28,696
2020-04-29,19,715
2020-04-30,11,726
2020-05-01,0,726
