data,pe_zi,cumulat
2020-03-05,3,3
2020-03-06,0,3
2020-03-07,0,3
2020-03-08,2,5
2020-03-09,0,5
2020-03-10,0,5
2020-03-11,0,5
2020-03-12,1,6
2020-03-13,0,6
2020-03-14,0,6
2020-03-15,3,9
2020-03-16,0,9
2020-03-17,10,19
2020-03-18,0,19
2020-03-19,6,25
2020-03-20,6,31
2020-03-21,21,52
2020-03-22,12,64
2020-03-23,9,73
2020-03-24,6,79
2020-03-25,5,84
2020-03-26,10,94
2020-03-27,21,115
2020-03-28,24,139
2020-03-29,30,169
2020-03-30,11,180
2020-03-31,40,220
2020-04-01,32,252
2020-04-02,15,267
2020-04-03,16,283
2020-04-04,46,329
2020-04-05,45,374
2020-04-06,32,406
2020-04-07,54,460
2020-04-08,68,528
2020-04-09,119,647
2020-04-10,82,729
2020-04-11,29,758
2020-04-12,94,852
2020-04-13,62,914
2020-04-14,137,1051
2020-04-15,166,1217
2020-04-16,140,1357
2020-04-17,151,1508
2020-04-18,222,1730
2020-04-19,162,1892
2020-04-20,125,2017
2020-04-21,136,2153
2020-04-22,253,2406
2020-04-23,72,2478
2020-04-24,339,2817
2020-04-25,73,2890
2020-04-26,164,3054
2020-04-27,87,3141
2020-04-28,263,3404
